"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1967084058485395487","Sun Sep 14 10:01:38 +0000 2025","6","@perupadata @BuleEmbe 1) Belanja yg RECKLESS macam ini apa Menkeu Purbaya bisa cegah? 2) Kan MAUNYA Presiden yg GAK MAU TAHU KONDISI FISKAL? 3) Bisa dipastikan Purbaya akan lanjutkan APBN yg 'nafasnya' disambung dengan cara Gali Lubang Tutup Lubang modus klasik Sri Mulyani.","1967166843787108566","","perupadata","in","","0","0","0","https://x.com/undefined/status/1967166843787108566","1626014171497385984",
"1967165962362265713","Sun Sep 14 09:58:08 +0000 2025","0","Purbaya Klaim Guyuran Rp200 Triliun ke 5 Bank Akan Kerek Penerimaan Pajak https://t.co/pgL6qnrjN9 https://t.co/WpNYYPV8iI","1967165962362265713","https://pbs.twimg.com/media/G0zHBH3WsAAO9nJ.jpg","","in","","0","1","0","https://x.com/undefined/status/1967165962362265713","118371948",
"1967164790885027939","Sun Sep 14 09:53:28 +0000 2025","1","ngl gw dengerin bbrp post purbaya ngomong jd sedikit paham masalah ekonomi indo dan cara2nya NGL SERU DAH BELAJAR EKONOMI","1967164790885027939","","","in","","0","0","0","https://x.com/undefined/status/1967164790885027939","1443468965435490312",
"1967163765444825173","Sun Sep 14 09:49:24 +0000 2025","0","Purbaya ini asyik orangnya. Banyak yg blm terbiasa saja makanya terkaget2 https://t.co/KM8w2ToX3k","1967163765444825173","","","in","","1","0","0","https://x.com/undefined/status/1967163765444825173","1604251675250020352",
"1967162783835082992","Sun Sep 14 09:45:30 +0000 2025","2","Pemerintah melalui Menteri Keuangan Purbaya Yudhi Sadewa mengucurkan dana sebesar Rp200 triliun ke lima bank Himbara (Himpunan Bank Milik Negara) untuk mendorong likuiditas dan perekonomian. Dana ini disalurkan dengan skema deposit on call dan dapat ditarik kapan saja. https://t.co/wujbZIPwgM","1967162783835082992","https://pbs.twimg.com/media/G0y40SbbkAA_JFp.jpg","","in","","0","0","1","https://x.com/undefined/status/1967162783835082992","231355136",
"1967159967955443741","Sun Sep 14 09:45:19 +0000 2025","0","@dewiamalia786 Purbaya Yudhi Sadewa sebagai Menkeu fokus pada kebijakan ekonomi seperti injeksi Rp200 T ke bank. Untuk judi online pemerintah punya upaya melalui Satgas Pemberantasan Judi Online (dikoordinasi Menko Polhukam) termasuk blokir jutaan situs oleh Kemkomdigi sepanjang 2025. Belum","1967162738028982516","","dewiamalia786","in","","0","1","0","https://x.com/undefined/status/1967162738028982516","1720665183188922368",
"1967162406116741124","Sun Sep 14 09:44:00 +0000 2025","0","Bonus Rp. 10.000 saldo kalauu install apk Shopeepay ada promo serba seribu Caranya : Upgrade ke Spay plus log in pakai akun shopee &amp; masukkan kode referral FF6JWV5WP diskon info freelance job receh zonauang prabowo jokowi gibran purbaya tasya farasya https://t.co/jrJWpyIjPR https://t.co/uKwFCE3Tyi","1967162406116741124","https://pbs.twimg.com/media/G0yu7C0bcActbDA.jpg","","in","","0","0","0","https://x.com/undefined/status/1967162406116741124","1884735513976004608",
"1967160943391158624","Sun Sep 14 09:38:11 +0000 2025","0","gue suka banget nih sama pak purbaya sehat pakkk","1967160943391158624","","","in","","0","0","0","https://x.com/undefined/status/1967160943391158624","1067637535029903361",
"1967160895890411828","Sun Sep 14 09:38:00 +0000 2025","0","Serba seribu berlangsung dapatkan bonus Rp. 10.000 saldo pass download apk Shopeepay Upgrade ke spay plus log in dengan shopee &amp; masukin kode referral FF6JWV5WP diskon promo info freelance job receh zonauang prabowo jokowi gibran purbaya tasya farasya https://t.co/jrJWpyIjPR https://t.co/5wzDVqfs7F","1967160895890411828","https://pbs.twimg.com/media/G0yuuVybcAQiReU.jpg","","in","","0","0","0","https://x.com/undefined/status/1967160895890411828","1884735513976004608",
"1967159967955443741","Sun Sep 14 09:35:08 +0000 2025","0","@dewiamalia786 Saham bank di Indonesia terutama BUMN seperti BMRI dan BBRI sedang hijau karena pemerintah mengalihkan dana Rp 200 triliun dari BI ke Himbara untuk percepat ekonomi (efek Purbaya). Ini dorong kenaikan IHSG baru-baru ini meski awal September sempat turun. Cek data terkini di","1967160174692680088","","dewiamalia786","in","","0","1","0","https://x.com/undefined/status/1967160174692680088","1720665183188922368",
"1967158883039981774","Sun Sep 14 09:30:00 +0000 2025","1","Menkeu Purbaya Ingin Optimalkan Anggaran APBN: Nggak Ada Sisa Uang yang Berlebihan https://t.co/9C0gEUbC4u","1967158883039981774","","","in","","1","0","0","https://x.com/undefined/status/1967158883039981774","71436318",
"1967158028526116923","Sun Sep 14 09:26:36 +0000 2025","345","Lord Purbaya https://t.co/QWaJ5y0OYx","1967158028526116923","https://pbs.twimg.com/media/G0y_zKlaAAAZXpD.jpg","","in","","2","21","124","https://x.com/undefined/status/1967158028526116923","1040306964100669440",
"1967156755470901313","Sun Sep 14 09:21:33 +0000 2025","0","Menkeu Purbaya melihat bhw lesunya gerak ekonomi Indonesia krn soal pengaturan keuangan negara yg tdk mengalir pdhal masalah utamanya rakyat tdk punya pendapatan lebih dibanding biaya hidup yg trus merangkak naik krn hrga2 kebutuhn naik dan pajak tarif &amp; bea yg trus naik.","1967156755470901313","","","in","","0","1","0","https://x.com/undefined/status/1967156755470901313","381953222",
"1967136237644320815","Sun Sep 14 09:21:25 +0000 2025","16","@tempodotco Menkeu Purbaya melihat bhw lesunya gerak ekonomi Indonesia krn soal pengaturan keuangan negara yg tdk mengalir pdhal masalah utamanya rakyat tdk punya pendapatan lebih dibanding biaya hidup yg trus merangkak naik krn hrga2 kebutuhn naik dan pajak tarif &amp; bea yg trus naik.","1967156724164612146","","tempodotco","in","","0","0","0","https://x.com/undefined/status/1967156724164612146","381953222",
"1967152526371020996","Sun Sep 14 09:04:44 +0000 2025","0","Baru 3 hari menjabat Purbaya bongkar akar perlambatan ekonomi: likuiditas dicekik. Pertanyaannya bisakah ia seimbangkan moneter-fiskal demi pertumbuhan? #Headline https://t.co/bi0EOEX2PC","1967152526371020996","","","in","","0","0","1","https://x.com/undefined/status/1967152526371020996","23786106",
"1967151485176967667","Sun Sep 14 09:00:36 +0000 2025","13","Rp200T dana rakyat parkir di bank BUMN. Bank main aman kredit hanya ke korporasi besar. UMKM? Sulit lolos. Andai Rp200T langsung ke UMKM ratusan ribu usaha lahir &amp; ekonomi nyata bergerak. https://t.co/ixWhMXhoPb","1967151485176967667","","","in","","1","0","5","https://x.com/undefined/status/1967151485176967667","1734053015643140096",
"1967151349012861396","Sun Sep 14 09:00:04 +0000 2025","0","Menkeu Purbaya Tegaskan Anggaran 2025 Harus Terserap Efektif Tanpa Sisa https://t.co/OW5O4IKgMx","1967151349012861396","","","in","","0","0","0","https://x.com/undefined/status/1967151349012861396","1187568093381283840",
"1967151338346967242","Sun Sep 14 09:00:01 +0000 2025","0","Ekonomi RI dinilai punya peluang besar untuk bangkit asal jalurnya tepat. Apa pesan Chairman Rockefeller untuk Menkeu Purbaya? Cek selengkapnya di bawah ini. https://t.co/stl7cXFmtq","1967151338346967242","","","in","","0","0","0","https://x.com/undefined/status/1967151338346967242","1702957163059257344",
"1967146048201388293","Sun Sep 14 08:39:00 +0000 2025","0","Purbaya rame bgt di fyp ku. Katanya dia nge-tf setengah duitnya ke Himbara. 200T WOW","1967146048201388293","","","in","","0","0","0","https://x.com/undefined/status/1967146048201388293","1089194917",
"1967145544913986003","Sun Sep 14 08:37:00 +0000 2025","0","Serba seribu berlangsung dapatkan bonus 10.000 saldo pas download apk Shopeepay. Upgrade ke spay plus log in dg shopee &amp; masukin kode referral FF6JWV5WP diskon promo info freelance job receh zonauang prabowo jokowi minggu gibran purbaya tasya farasya https://t.co/cziHHCFI5H https://t.co/4Sqel0MZtL","1967145544913986003","https://pbs.twimg.com/media/G0yiPJGbIAAT7FV.jpg","","in","","0","0","0","https://x.com/undefined/status/1967145544913986003","791791758",
"1967145038200402253","Sun Sep 14 08:34:59 +0000 2025","0","Ini yg harus diteriakkan ke telinga anak Menkeu Purbaya Yudhi","1967145038200402253","","","in","","0","1","0","https://x.com/undefined/status/1967145038200402253","1731476067893092352",
"1967144001733357672","Sun Sep 14 08:30:53 +0000 2025","22","Menteri Keuangan Purbaya Yudhi Sadewa menegaskan tidak akan mengenakan pajak baru untuk menggenjot penerimaan negara. Ia menilai lebih baik pemerintah fokus mengoptimalkan sistem perpajakan yang sudah ada. Menurut saya pribadi selama ini nggak usah kata Purbaya di Istana","1967144007492137135","","CryptoWaveID","in","","0","0","1","https://x.com/undefined/status/1967144007492137135","1749374921577574400",
